height_m,wet_radius_micron,concentration_m3
0.0,532645.7042085319,1.6430992332772615e-06
0.0,547952.5066652752,1.6908600550217338e-06
0.0,563699.1853842291,1.7399937670729465e-06
0.0,579898.3812240314,1.7905398124244821e-06
0.0,596563.0983075403,1.8425387678261261e-06
0.0,613706.7144610675,1.8960323763580883e-06
0.0,631342.9919536107,1.951063580941578e-06
0.0,649486.0885446984,2.0076765588124085e-06
0.0,668150.5688497239,2.0659167569855586e-06
0.0,687351.4160318865,2.1258309287388978e-06
0.0,707104.043830127,2.187467171145645e-06
0.0,727424.3089327151,2.2508749636853693e-06
0.0,748328.5237064194,2.316105207964895e-06
0.0,769833.4692914794,2.3832102685806787e-06
0.0,791956.4090728932,2.4522440151556407e-06
0.0,814715.1025388314,2.5232618655841767e-06
0.0,838127.8195373056,2.596320830519963e-06
1.0,2983.4372143340365,4.126629695741413e-09
1.0,3069.1731617397604,4.280655505954845e-09
1.0,3157.3729292796043,4.440782184783738e-09
1.0,3248.107320506067,4.6072494350966336e-09
1.0,3341.449173674988,4.780305403543737e-09
1.0,3437.4734202174286,4.9602068999596965e-09
1.0,3536.257144891897,5.147219618205282e-09
1.0,3637.8796476651773,5.341618358289251e-09
1.0,3742.422507371443,5.5436872496159e-09
1.0,3849.9696472007686,5.753719975210346e-09
1.0,3960.6074020696014,5.972019996782368e-09
1.0,4074.424587927276,6.1989007805008636e-09
1.0,4191.512573054222,6.434686023365265e-09
1.0,4311.965351409081,6.679709880077181e-09
1.0,4435.879618083617,6.934317190335548e-09
1.0,4563.354846926009,7.198863706502137e-09
1.0,4694.493370394832,7.473716321610696e-09
1.0,4829.400461707808,7.759253297723046e-09
1.0,4968.1844193513025,8.055864494669153e-09
1.0,5110.956654018397,8.36395159924487e-09
1.0,5257.831778045323,8.683928354981417e-09
1.0,5408.927697418063,9.016220792644312e-09
1.0,5564.365706422964,9.361267461665937e-09
1.0,5724.270585017361,9.719519662765784e-09
1.0,5888.770698998387,1.0091441682064378e-08
1.0,6057.998103050325,1.0477511027051413e-08
1.0,6232.0886467533,1.0878218664825255e-08
1.0,6411.182083638353,1.129406926307857e-08
1.0,6595.422183376479,1.1725581434363962e-08
1.0,6784.956847191664,1.2173287984232502e-08
1.0,6979.938226590587,1.2637736163897579e-08
1.0,7180.522845504302,1.3119487928134851e-08
1.0,7386.871725939914,1.361912019918584e-08
1.0,7599.150517243181,1.413722513748849e-08
1.0,7817.529629075764,1.4674410420110104e-08
1.0,8042.18436821387,1.5231299527807182e-08
1.0,8273.295079278132,1.580853204168291e-08
1.0,8511.047289507687,1.6406763950453053e-08
1.0,8755.631857694669,1.7026667969368325e-08
1.0,9007.245127398679,1.766893387187133e-08
1.0,9266.089084564212,1.8334268835091473e-08
